userName,content,score,at,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
Dedew Dewi,males ngetik jadi aplikasi ini bagus pokoknya,5,2025-03-13 04:26:29,males ngetik jadi aplikasi ini bagus pokoknya,males ngetik jadi aplikasi ini bagus pokoknya,malas mengetik jadi aplikasi ini bagus pokoknya,"['malas', 'mengetik', 'jadi', 'aplikasi', 'ini', 'bagus', 'pokoknya']","['malas', 'mengetik', 'aplikasi', 'bagus', 'pokoknya']",malas etik aplikasi bagus pokok
Waydah destin Wahyu,gak bisa masuk karena tanggal lahirr,3,2025-03-13 04:24:25,gak bisa masuk karena tanggal lahirr,gak bisa masuk karena tanggal lahirr,tidak bisa masuk karena tanggal lahir,"['tidak', 'bisa', 'masuk', 'karena', 'tanggal', 'lahir']","['masuk', 'tanggal', 'lahir']",masuk tanggal lahir
Bagus Pramudya,Top,5,2025-03-13 04:23:37,Top,top,top,['top'],['top'],top
Hudri Dri,Bagus bgt 🪄✨,5,2025-03-13 04:07:10,Bagus bgt ,bagus bgt ,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
Vanzz0fficial!? Vanzzz_aja,Aesthetic semuaaa,5,2025-03-13 03:56:40,Aesthetic semuaaa,aesthetic semuaaa,aesthetic semua,"['aesthetic', 'semua']",['aesthetic'],aesthetic
Santi Tii,bagus banget bisa buat profil wa,5,2025-03-13 02:39:14,bagus banget bisa buat profil wa,bagus banget bisa buat profil wa,bagus banget bisa buat profil wa,"['bagus', 'banget', 'bisa', 'buat', 'profil', 'wa']","['bagus', 'banget', 'profil', 'wa']",bagus banget profil wa
Oppo Smarphone57,disain bagus dan lucu,5,2025-03-12 23:40:27,disain bagus dan lucu,disain bagus dan lucu,disain bagus dan lucu,"['disain', 'bagus', 'dan', 'lucu']","['disain', 'bagus', 'lucu']",disain bagus lucu
Affan raksa,saya GK tau cr dftr nya,2,2025-03-12 22:22:23,saya GK tau cr dftr nya,saya gk tau cr dftr nya,saya tidak tau cara dftr ya,"['saya', 'tidak', 'tau', 'cara', 'dftr', 'ya']","['tau', 'dftr', 'ya']",tau dftr ya
Vidri Corp,masa masukin umur gk bisa apalah aplikasi gk jelas gk berguna😌,1,2025-03-12 21:45:58,masa masukin umur gk bisa apalah aplikasi gk jelas gk berguna,masa masukin umur gk bisa apalah aplikasi gk jelas gk berguna,masa memasuki umur tidak bisa apalah aplikasi tidak jelas tidak berguna,"['masa', 'memasuki', 'umur', 'tidak', 'bisa', 'apalah', 'aplikasi', 'tidak', 'jelas', 'tidak', 'berguna']","['memasuki', 'umur', 'apalah', 'aplikasi', 'berguna']",pasuk umur apa aplikasi guna
Ndayak Ramadhani,"jgn download aplikasi ini, sumpah main asal nonaktifin akun segala padahal aku cuma nyimpan malah akun aku kena. aplikasi bego jgn download uninstal aja",1,2025-03-12 21:29:37,jgn download aplikasi ini sumpah main asal nonaktifin akun segala padahal aku cuma nyimpan malah akun aku kena aplikasi bego jgn download uninstal aja,jgn download aplikasi ini sumpah main asal nonaktifin akun segala padahal aku cuma nyimpan malah akun aku kena aplikasi bego jgn download uninstal aja,jangan download aplikasi ini sumpah main asal nonaktifin akun segala padahal aku cuma nyimpan malah akun aku kena aplikasi bego jangan download uninstal saja,"['jangan', 'download', 'aplikasi', 'ini', 'sumpah', 'main', 'asal', 'nonaktifin', 'akun', 'segala', 'padahal', 'aku', 'cuma', 'nyimpan', 'malah', 'akun', 'aku', 'kena', 'aplikasi', 'bego', 'jangan', 'download', 'uninstal', 'saja']","['download', 'aplikasi', 'sumpah', 'main', 'nonaktifin', 'akun', 'nyimpan', 'akun', 'kena', 'aplikasi', 'bego', 'download', 'uninstal']",download aplikasi sumpah main nonaktifin akun nyimpan akun kena aplikasi bego download uninstal
heri kiswanto,"aplikasi nya jelek aku sering bosen gak kayak tiktok yang lama, kalo yang lama mah seru cuma sering ngeleg",1,2025-03-12 21:16:46,aplikasi nya jelek aku sering bosen gak kayak tiktok yang lama kalo yang lama mah seru cuma sering ngeleg,aplikasi nya jelek aku sering bosen gak kayak tiktok yang lama kalo yang lama mah seru cuma sering ngeleg,aplikasi ya jelek aku sering bosan tidak kayak tiktok yang lama kalau yang lama mah seru cuma sering ngeleg,"['aplikasi', 'ya', 'jelek', 'aku', 'sering', 'bosan', 'tidak', 'kayak', 'tiktok', 'yang', 'lama', 'kalau', 'yang', 'lama', 'mah', 'seru', 'cuma', 'sering', 'ngeleg']","['aplikasi', 'ya', 'jelek', 'bosan', 'kayak', 'tiktok', 'mah', 'seru', 'ngeleg']",aplikasi ya jelek bosan kayak tiktok mah seru ngeleg
Luna Aira Queen,"Akun saya tiba tiba di nonaktifkan karena melanggar peraturan, melanggar apa ya? Padahal engga ngapa ngapain, cuma suka ngeliat foto makanan aja, udh gitu pengikut saya ga lebih dari 10 orang",2,2025-03-12 20:28:29,Akun saya tiba tiba di nonaktifkan karena melanggar peraturan melanggar apa ya Padahal engga ngapa ngapain cuma suka ngeliat foto makanan aja udh gitu pengikut saya ga lebih dari  orang,akun saya tiba tiba di nonaktifkan karena melanggar peraturan melanggar apa ya padahal engga ngapa ngapain cuma suka ngeliat foto makanan aja udh gitu pengikut saya ga lebih dari  orang,akun saya tiba tiba di nonaktifkan karena melanggar peraturan melanggar apa ya padahal tidak ngapa mengapai cuma suka melihat foto makanan saja sudah begitu pengikut saya tidak lebih dari orang,"['akun', 'saya', 'tiba', 'tiba', 'di', 'nonaktifkan', 'karena', 'melanggar', 'peraturan', 'melanggar', 'apa', 'ya', 'padahal', 'tidak', 'ngapa', 'mengapai', 'cuma', 'suka', 'melihat', 'foto', 'makanan', 'saja', 'sudah', 'begitu', 'pengikut', 'saya', 'tidak', 'lebih', 'dari', 'orang']","['akun', 'nonaktifkan', 'melanggar', 'peraturan', 'melanggar', 'ya', 'ngapa', 'mengapai', 'suka', 'foto', 'makanan', 'pengikut', 'orang']",akun nonaktif langgar atur langgar ya ngapa kapai suka foto makan ikut orang
Dela Lia,Ngeleg parah,1,2025-03-12 16:20:38,Ngeleg parah,ngeleg parah,ngeleg parah,"['ngeleg', 'parah']","['ngeleg', 'parah']",ngeleg parah
Wiji Rahayu,Aplikasinya sangat bagus.,5,2025-03-12 15:45:23,Aplikasinya sangat bagus,aplikasinya sangat bagus,aplikasinya sangat bagus,"['aplikasinya', 'sangat', 'bagus']","['aplikasinya', 'bagus']",aplikasi bagus
May 123,pinterest ini bagus banget karena bisa membantu untuk meperbagus HP ku,5,2025-03-12 15:45:09,pinterest ini bagus banget karena bisa membantu untuk meperbagus HP ku,pinterest ini bagus banget karena bisa membantu untuk meperbagus hp ku,pinterest ini bagus banget karena bisa membantu untuk meperbagus hp ku,"['pinterest', 'ini', 'bagus', 'banget', 'karena', 'bisa', 'membantu', 'untuk', 'meperbagus', 'hp', 'ku']","['pinterest', 'bagus', 'banget', 'membantu', 'meperbagus', 'hp', 'ku']",pinterest bagus banget bantu meperbagus hp ku
Rizki Fajar,Lag kadang keluar sendiri,1,2025-03-12 15:28:45,Lag kadang keluar sendiri,lag kadang keluar sendiri,lag kadang keluar sendiri,"['lag', 'kadang', 'keluar', 'sendiri']","['lag', 'kadang']",lag kadang
M Palembang,ko skrng klo mo buka jd lag bgt dah,2,2025-03-12 15:25:47,ko skrng klo mo buka jd lag bgt dah,ko skrng klo mo buka jd lag bgt dah,kok sekarang kalau mau buka jadi lag banget sudah,"['kok', 'sekarang', 'kalau', 'mau', 'buka', 'jadi', 'lag', 'banget', 'sudah']","['buka', 'lag', 'banget']",buka lag banget
ngell iyy,tdk dapat menambah kan usia,1,2025-03-12 14:48:09,tdk dapat menambah kan usia,tdk dapat menambah kan usia,tidak dapat menambah kan usia,"['tidak', 'dapat', 'menambah', 'kan', 'usia']","['menambah', 'usia']",tambah usia
Riana Eky,Sebenarnya game ini bagus Tapi kadang fotonya rada sus🧐,3,2025-03-12 14:42:33,Sebenarnya game ini bagus Tapi kadang fotonya rada sus,sebenarnya game ini bagus tapi kadang fotonya rada sus,sebenarnya game ini bagus tapi kadang fotonya rada sus,"['sebenarnya', 'game', 'ini', 'bagus', 'tapi', 'kadang', 'fotonya', 'rada', 'sus']","['game', 'bagus', 'kadang', 'fotonya', 'rada', 'sus']",game bagus kadang foto rada sus
Icha Icha13,sangat bermanfaat untuk saya,5,2025-03-12 14:37:36,sangat bermanfaat untuk saya,sangat bermanfaat untuk saya,sangat bermanfaat untuk saya,"['sangat', 'bermanfaat', 'untuk', 'saya']",['bermanfaat'],manfaat
Navrian Laksweindra,"Kurangin foto 18+, biasanya muncul sndri pas lagi nyari foto atau background",3,2025-03-12 13:37:25,Kurangin foto  biasanya muncul sndri pas lagi nyari foto atau background,kurangin foto  biasanya muncul sndri pas lagi nyari foto atau background,kurangi foto biasanya muncul sendiri pas lagi mencari foto atau background,"['kurangi', 'foto', 'biasanya', 'muncul', 'sendiri', 'pas', 'lagi', 'mencari', 'foto', 'atau', 'background']","['kurangi', 'foto', 'muncul', 'pas', 'mencari', 'foto', 'background']",kurang foto muncul pas cari foto background
Celine Lovely,"Bgs and cocok banget buat aku yang suka ngedit atau gambar jadi kalo ada yang mau di,gambar tapi bingung mw gambar apa,aku bisa buka pinteres jadi gambar ku lebih beutiful aja dan lebih bagus dan coba deh di tambahin fitur atau layar,nya di besarin karna layarnya kecil jadi agak gak cocok sama aku hehe🐰!!!",5,2025-03-12 13:33:01,Bgs and cocok banget buat aku yang suka ngedit atau gambar jadi kalo ada yang mau digambar tapi bingung mw gambar apaaku bisa buka pinteres jadi gambar ku lebih beutiful aja dan lebih bagus dan coba deh di tambahin fitur atau layarnya di besarin karna layarnya kecil jadi agak gak cocok sama aku hehe,bgs and cocok banget buat aku yang suka ngedit atau gambar jadi kalo ada yang mau digambar tapi bingung mw gambar apaaku bisa buka pinteres jadi gambar ku lebih beutiful aja dan lebih bagus dan coba deh di tambahin fitur atau layarnya di besarin karna layarnya kecil jadi agak gak cocok sama aku hehe,bagus and cocok banget buat aku yang suka ngedit atau gambar jadi kalau ada yang mau digambar tapi bingung mau gambar apaaku bisa buka pinteres jadi gambar ku lebih beutiful saja dan lebih bagus dan coba deh di tambahkan fitur atau layarnya di membesarkan karena layarnya kecil jadi agak tidak cocok sama aku hehe,"['bagus', 'and', 'cocok', 'banget', 'buat', 'aku', 'yang', 'suka', 'ngedit', 'atau', 'gambar', 'jadi', 'kalau', 'ada', 'yang', 'mau', 'digambar', 'tapi', 'bingung', 'mau', 'gambar', 'apaaku', 'bisa', 'buka', 'pinteres', 'jadi', 'gambar', 'ku', 'lebih', 'beutiful', 'saja', 'dan', 'lebih', 'bagus', 'dan', 'coba', 'deh', 'di', 'tambahkan', 'fitur', 'atau', 'layarnya', 'di', 'membesarkan', 'karena', 'layarnya', 'kecil', 'jadi', 'agak', 'tidak', 'cocok', 'sama', 'aku', 'hehe']","['bagus', 'and', 'cocok', 'banget', 'suka', 'ngedit', 'gambar', 'digambar', 'bingung', 'gambar', 'apaaku', 'buka', 'pinteres', 'gambar', 'ku', 'beutiful', 'bagus', 'coba', 'deh', 'tambahkan', 'fitur', 'layarnya', 'membesarkan', 'layarnya', 'cocok', 'hehe']",bagus and cocok banget suka ngedit gambar gambar bingung gambar apaaku buka pinteres gambar ku beutiful bagus coba deh tambah fitur layar besar layar cocok hehe
Davin Nathan,Gak terlalu jelek gak terlalu bagus,5,2025-03-12 13:31:23,Gak terlalu jelek gak terlalu bagus,gak terlalu jelek gak terlalu bagus,tidak terlalu jelek tidak terlalu bagus,"['tidak', 'terlalu', 'jelek', 'tidak', 'terlalu', 'bagus']","['jelek', 'bagus']",jelek bagus
anda memang,Bagus banget no komen,5,2025-03-12 11:35:40,Bagus banget no komen,bagus banget no komen,bagus banget no komen,"['bagus', 'banget', 'no', 'komen']","['bagus', 'banget', 'no', 'komen']",bagus banget no komen
Mohammad Siddiq,Daftarnya g bisa pdhl tangal lahirnya sudah bener,3,2025-03-12 10:14:46,Daftarnya g bisa pdhl tangal lahirnya sudah bener,daftarnya g bisa pdhl tangal lahirnya sudah bener,daftarnya tidak bisa padahal tangal lahirnya sudah benar,"['daftarnya', 'tidak', 'bisa', 'padahal', 'tangal', 'lahirnya', 'sudah', 'benar']","['daftarnya', 'tangal', 'lahirnya']",daftar tangal lahir
Willi Wiliantie,baguss Kok bangett Tapi aku kasih rating 4 Gapapa Ya,4,2025-03-12 06:51:24,baguss Kok bangett Tapi aku kasih rating  Gapapa Ya,baguss kok bangett tapi aku kasih rating  gapapa ya,bagus kok banget tapi aku kasih rating gapapa ya,"['bagus', 'kok', 'banget', 'tapi', 'aku', 'kasih', 'rating', 'gapapa', 'ya']","['bagus', 'banget', 'kasih', 'rating', 'gapapa', 'ya']",bagus banget kasih rating gapapa ya
Mala Rawrrr,"Kenapa pas mau login suka ada tulisan ""ada kesalahan"" atu apala itu kenapa ya tolong perbaiki lagi",1,2025-03-12 06:49:00,Kenapa pas mau login suka ada tulisan ada kesalahan atu apala itu kenapa ya tolong perbaiki lagi,kenapa pas mau login suka ada tulisan ada kesalahan atu apala itu kenapa ya tolong perbaiki lagi,kenapa pas mau login suka ada tulisan ada kesalahan satu apala itu kenapa ya tolong perbaiki lagi,"['kenapa', 'pas', 'mau', 'login', 'suka', 'ada', 'tulisan', 'ada', 'kesalahan', 'satu', 'apala', 'itu', 'kenapa', 'ya', 'tolong', 'perbaiki', 'lagi']","['pas', 'login', 'suka', 'tulisan', 'kesalahan', 'apala', 'ya', 'tolong', 'perbaiki']",pas login suka tulis salah apala ya tolong baik
Siti Aminah,Sesuai ekspetasi 🤓,5,2025-03-12 06:48:47,Sesuai ekspetasi ,sesuai ekspetasi ,sesuai ekspetasi,"['sesuai', 'ekspetasi']","['sesuai', 'ekspetasi']",sesuai ekspetasi
Elsa Dwiapriliya,Perfect-! Apk nya ngebantu bgt buat nyari gambar! Dan ga ada yang kayak error atau nge freeze-!! Pokoknya perfect!!,5,2025-03-12 06:34:59,Perfect Apk nya ngebantu bgt buat nyari gambar Dan ga ada yang kayak error atau nge freeze Pokoknya perfect,perfect apk nya ngebantu bgt buat nyari gambar dan ga ada yang kayak error atau nge freeze pokoknya perfect,perfect apk ya membantu banget buat mencari gambar dan tidak ada yang kayak error atau nge freeze pokoknya perfect,"['perfect', 'apk', 'ya', 'membantu', 'banget', 'buat', 'mencari', 'gambar', 'dan', 'tidak', 'ada', 'yang', 'kayak', 'error', 'atau', 'nge', 'freeze', 'pokoknya', 'perfect']","['perfect', 'apk', 'ya', 'membantu', 'banget', 'mencari', 'gambar', 'kayak', 'error', 'nge', 'freeze', 'pokoknya', 'perfect']",perfect apk ya bantu banget cari gambar kayak error nge freeze pokok perfect
Zaenal Abidin,pin 😂😂😂😂,1,2025-03-12 05:47:30,pin ,pin ,pin,['pin'],['pin'],pin
Sobri brian,Krenn dan baguss sekali gambarnya,5,2025-03-12 04:44:12,Krenn dan baguss sekali gambarnya,krenn dan baguss sekali gambarnya,keren dan bagus sekali gambarnya,"['keren', 'dan', 'bagus', 'sekali', 'gambarnya']","['keren', 'bagus', 'gambarnya']",keren bagus gambar
Uciha Hasara,"karna saya GK bisa daftar padahal nama ,umur, tahun sudah benar",1,2025-03-12 02:50:02,karna saya GK bisa daftar padahal nama umur tahun sudah benar,karna saya gk bisa daftar padahal nama umur tahun sudah benar,karena saya tidak bisa daftar padahal nama umur tahun sudah benar,"['karena', 'saya', 'tidak', 'bisa', 'daftar', 'padahal', 'nama', 'umur', 'tahun', 'sudah', 'benar']","['daftar', 'nama', 'umur']",daftar nama umur
Herman Bangun,Membuat lebih baik...,5,2025-03-12 02:17:19,Membuat lebih baik,membuat lebih baik,membuat lebih baik,"['membuat', 'lebih', 'baik']",[],
Aisyah Samosir,"Aplikasi yg luar biasa bagus banget Apapun yg aku ingin ada di dalam aplikasi ini Foto dan vidionya juga bagus2 Mantap , the Best lah pokoknya",5,2025-03-12 02:03:05,Aplikasi yg luar biasa bagus banget Apapun yg aku ingin ada di dalam aplikasi ini Foto dan vidionya juga bagus Mantap  the Best lah pokoknya,aplikasi yg luar biasa bagus banget apapun yg aku ingin ada di dalam aplikasi ini foto dan vidionya juga bagus mantap  the best lah pokoknya,aplikasi yang luar biasa bagus banget apapun yang aku ingin ada di dalam aplikasi ini foto dan vidionya juga bagus mantap the best lah pokoknya,"['aplikasi', 'yang', 'luar', 'biasa', 'bagus', 'banget', 'apapun', 'yang', 'aku', 'ingin', 'ada', 'di', 'dalam', 'aplikasi', 'ini', 'foto', 'dan', 'vidionya', 'juga', 'bagus', 'mantap', 'the', 'best', 'lah', 'pokoknya']","['aplikasi', 'bagus', 'banget', 'apapun', 'aplikasi', 'foto', 'vidionya', 'bagus', 'mantap', 'the', 'best', 'pokoknya']",aplikasi bagus banget apa aplikasi foto vidionya bagus mantap the best pokok
liaan. Pulungan,Mantap untuk desain,4,2025-03-12 00:29:25,Mantap untuk desain,mantap untuk desain,mantap untuk desain,"['mantap', 'untuk', 'desain']","['mantap', 'desain']",mantap desain
Ikram Fiqri,APK ini sangat bagus,5,2025-03-11 23:44:25,APK ini sangat bagus,apk ini sangat bagus,apk ini sangat bagus,"['apk', 'ini', 'sangat', 'bagus']","['apk', 'bagus']",apk bagus
prisca fitria maharani,sok asik gk bisa masuk tahikkk,1,2025-03-11 23:29:52,sok asik gk bisa masuk tahikkk,sok asik gk bisa masuk tahikkk,sok asik tidak bisa masuk tahikkk,"['sok', 'asik', 'tidak', 'bisa', 'masuk', 'tahikkk']","['sok', 'asik', 'masuk', 'tahikkk']",sok asik masuk tahikkk
Hafiz Dermawan,Bagus sekali banyak dan keren,5,2025-03-11 23:21:49,Bagus sekali banyak dan keren,bagus sekali banyak dan keren,bagus sekali banyak dan keren,"['bagus', 'sekali', 'banyak', 'dan', 'keren']","['bagus', 'keren']",bagus keren
Tanu Winata,PINTEREST MMG YAHUT,5,2025-03-11 23:08:19,PINTEREST MMG YAHUT,pinterest mmg yahut,pinterest memang yahut,"['pinterest', 'memang', 'yahut']","['pinterest', 'yahut']",pinterest yahut
keiilluv,"akun aku keblok pinterest, ini kenapa yaa? padahal aku hanya cari foto"" biasa",5,2025-03-11 21:37:31,akun aku keblok pinterest ini kenapa yaa padahal aku hanya cari foto biasa,akun aku keblok pinterest ini kenapa yaa padahal aku hanya cari foto biasa,akun aku keblok pinterest ini kenapa ya padahal aku hanya cari foto biasa,"['akun', 'aku', 'keblok', 'pinterest', 'ini', 'kenapa', 'ya', 'padahal', 'aku', 'hanya', 'cari', 'foto', 'biasa']","['akun', 'keblok', 'pinterest', 'ya', 'cari', 'foto']",akun blok pinterest ya cari foto
zhaku wiliam,Updated malah bikin jelek pin yg gw simpen 3 tahun lalu ilang payah² GK jelas,1,2025-03-11 16:53:26,Updated malah bikin jelek pin yg gw simpen  tahun lalu ilang payah² GK jelas,updated malah bikin jelek pin yg gw simpen  tahun lalu ilang payah² gk jelas,updated malah bikin jelek pin yang gue simpan tahun lalu hilang payah² tidak jelas,"['updated', 'malah', 'bikin', 'jelek', 'pin', 'yang', 'gue', 'simpan', 'tahun', 'lalu', 'hilang', 'payah²', 'tidak', 'jelas']","['updated', 'bikin', 'jelek', 'pin', 'gue', 'simpan', 'hilang', 'payah²']",updated bikin jelek pin gue simpan hilang payah
Levi Azhari,Terbaik untuk mencari wallpaper dll,5,2025-03-11 15:11:48,Terbaik untuk mencari wallpaper dll,terbaik untuk mencari wallpaper dll,terbaik untuk mencari wallpaper dll,"['terbaik', 'untuk', 'mencari', 'wallpaper', 'dll']","['terbaik', 'mencari', 'wallpaper', 'dll']",baik cari wallpaper dll
Deni Yuliardi,Amazing dan keren good,5,2025-03-11 14:09:41,Amazing dan keren good,amazing dan keren good,amazing dan keren good,"['amazing', 'dan', 'keren', 'good']","['amazing', 'keren', 'good']",amazing keren good
Azura Mauja,bagus aja😇😇😇,5,2025-03-11 13:54:09,bagus aja,bagus aja,bagus saja,"['bagus', 'saja']",['bagus'],bagus
Onah Onah,Cakep² banget foto-fotonya aesthetic banget sumpah pas masuk ke pinterest ya langsung Nemu foto² K-Pop idol dll ya aesthetic and lucu² 🫶,5,2025-03-11 13:16:25,Cakep² banget fotofotonya aesthetic banget sumpah pas masuk ke pinterest ya langsung Nemu foto² KPop idol dll ya aesthetic and lucu² ,cakep² banget fotofotonya aesthetic banget sumpah pas masuk ke pinterest ya langsung nemu foto² kpop idol dll ya aesthetic and lucu² ,cakep² banget fotofotonya aesthetic banget sumpah pas masuk ke pinterest ya langsung nemu foto² kpop idol dll ya aesthetic and lucu²,"['cakep²', 'banget', 'fotofotonya', 'aesthetic', 'banget', 'sumpah', 'pas', 'masuk', 'ke', 'pinterest', 'ya', 'langsung', 'nemu', 'foto²', 'kpop', 'idol', 'dll', 'ya', 'aesthetic', 'and', 'lucu²']","['cakep²', 'banget', 'fotofotonya', 'aesthetic', 'banget', 'sumpah', 'pas', 'masuk', 'pinterest', 'ya', 'langsung', 'nemu', 'foto²', 'kpop', 'idol', 'dll', 'ya', 'aesthetic', 'and', 'lucu²']",cakep banget fotofotonya aesthetic banget sumpah pas masuk pinterest ya langsung nemu foto kpop idol dll ya aesthetic and lucu
Alfano Antoro,soo good,5,2025-03-11 13:03:07,soo good,soo good,soo good,"['soo', 'good']","['soo', 'good']",soo good
Made Kanha,Gimanasih gw udah pakem umur sendiri gak bisa masuk terus,1,2025-03-11 13:01:08,Gimanasih gw udah pakem umur sendiri gak bisa masuk terus,gimanasih gw udah pakem umur sendiri gak bisa masuk terus,gimanasih gue sudah pakem umur sendiri tidak bisa masuk terus,"['gimanasih', 'gue', 'sudah', 'pakem', 'umur', 'sendiri', 'tidak', 'bisa', 'masuk', 'terus']","['gimanasih', 'gue', 'pakem', 'umur', 'masuk']",gimanasih gue pakem umur masuk
Zeg zeg,Mantap aj lh,5,2025-03-11 12:54:34,Mantap aj lh,mantap aj lh,mantap saja boleh,"['mantap', 'saja', 'boleh']",['mantap'],mantap
이혜지,"Kenapa tiba-tiba gambar yang saya download dari pinterest hilang? saya susah-susah cari foto referensi yang saya mau pas udah ketemu yang pas dan di download biar gk hilang, tiba-tiba fotonya ilang dari galeri padahal tidak saya apus!",1,2025-03-11 12:45:09,Kenapa tibatiba gambar yang saya download dari pinterest hilang saya susahsusah cari foto referensi yang saya mau pas udah ketemu yang pas dan di download biar gk hilang tibatiba fotonya ilang dari galeri padahal tidak saya apus,kenapa tibatiba gambar yang saya download dari pinterest hilang saya susahsusah cari foto referensi yang saya mau pas udah ketemu yang pas dan di download biar gk hilang tibatiba fotonya ilang dari galeri padahal tidak saya apus,kenapa tibatiba gambar yang saya download dari pinterest hilang saya susahsusah cari foto referensi yang saya mau pas sudah ketemu yang pas dan di download biar tidak hilang tibatiba fotonya hilang dari galeri padahal tidak saya hapus,"['kenapa', 'tibatiba', 'gambar', 'yang', 'saya', 'download', 'dari', 'pinterest', 'hilang', 'saya', 'susahsusah', 'cari', 'foto', 'referensi', 'yang', 'saya', 'mau', 'pas', 'sudah', 'ketemu', 'yang', 'pas', 'dan', 'di', 'download', 'biar', 'tidak', 'hilang', 'tibatiba', 'fotonya', 'hilang', 'dari', 'galeri', 'padahal', 'tidak', 'saya', 'hapus']","['tibatiba', 'gambar', 'download', 'pinterest', 'hilang', 'susahsusah', 'cari', 'foto', 'referensi', 'pas', 'ketemu', 'pas', 'download', 'biar', 'hilang', 'tibatiba', 'fotonya', 'hilang', 'galeri', 'hapus']",tibatiba gambar download pinterest hilang susahsusah cari foto referensi pas ketemu pas download biar hilang tibatiba foto hilang galeri hapus
enceng kasim,Tolong tambahkan fitur download video juga biar tidak repot ke chrome lagi🙏🏻🙏🏻,5,2025-03-11 12:43:21,Tolong tambahkan fitur download video juga biar tidak repot ke chrome lagi,tolong tambahkan fitur download video juga biar tidak repot ke chrome lagi,tolong tambahkan fitur download video juga biar tidak repot ke chrome lagi,"['tolong', 'tambahkan', 'fitur', 'download', 'video', 'juga', 'biar', 'tidak', 'repot', 'ke', 'chrome', 'lagi']","['tolong', 'tambahkan', 'fitur', 'download', 'video', 'biar', 'repot', 'chrome']",tolong tambah fitur download video biar repot chrome
Agung Agung,𝑩𝒂𝒊𝒌,5,2025-03-11 12:33:21,𝑩𝒂𝒊𝒌,𝑩𝒂𝒊𝒌,𝑩𝒂𝒊𝒌,['𝑩𝒂𝒊𝒌'],['𝑩𝒂𝒊𝒌'],
zea 14,Jelek ngeleg gak jelas gak sesuai yang di cari udh unduh gambar malah gak ke unduh!!🤢🤢,1,2025-03-11 10:39:00,Jelek ngeleg gak jelas gak sesuai yang di cari udh unduh gambar malah gak ke unduh,jelek ngeleg gak jelas gak sesuai yang di cari udh unduh gambar malah gak ke unduh,jelek ngeleg tidak jelas tidak sesuai yang di cari sudah unduh gambar malah tidak ke unduh,"['jelek', 'ngeleg', 'tidak', 'jelas', 'tidak', 'sesuai', 'yang', 'di', 'cari', 'sudah', 'unduh', 'gambar', 'malah', 'tidak', 'ke', 'unduh']","['jelek', 'ngeleg', 'sesuai', 'cari', 'unduh', 'gambar', 'unduh']",jelek ngeleg sesuai cari unduh gambar unduh
Bapa Idin,ide yang sangat penting untuk dilakukan,5,2025-03-11 09:59:21,ide yang sangat penting untuk dilakukan,ide yang sangat penting untuk dilakukan,ide yang sangat penting untuk dilakukan,"['ide', 'yang', 'sangat', 'penting', 'untuk', 'dilakukan']",['ide'],ide
