at,userName,score,content,cleaning,case_folding,normalisasi,stemming_data,sentiment
2025-03-09 08:14:45,B D,1,"After i update this app into new version, my acc was gone and i don't know how to restore it😭😭",After i update this app into new version my acc was gone and i dont know how to restore it,after i update this app into new version my acc was gone and i dont know how to restore it,after i update this app into new version my acc was gone and i dont know how tapi restore itu,after i update this app into new version my acc was gone and i dont know how restore,Negatif
2025-03-09 07:57:47,Asnan Hanafi,5,Bagus banget aku suka😆🌷,Bagus banget aku suka,bagus banget aku suka,bagus banget aku suka,bagus banget suka,Positif
2025-03-09 07:22:57,Qibtiyah Mariatul,5,I like this ❤❤,I like this ,i like this ,i like this,i like this,Positif
2025-03-09 07:06:21,Pengguna Google,5,Bagus 👍👍👍,Bagus ,bagus ,bagus,bagus,Positif
2025-03-09 07:04:14,Jouzu Jinan Arieqa,4,"kenapa waktu aku login gabisa masuk???, padahal tanggal dan tahun lahir nya udah bener!!",kenapa waktu aku login gabisa masuk padahal tanggal dan tahun lahir nya udah bener,kenapa waktu aku login gabisa masuk padahal tanggal dan tahun lahir nya udah bener,kenapa waktu aku login masuk padahal tanggal dan tahun lahir ya sudah benar,login masuk tanggal lahir ya,Positif
2025-03-09 06:44:46,Marlina Lina,5,Mantap keren sangat luar biasa bang tambahkan model model busana supaya lebih baik.. Terimakasih Pinterest,Mantap keren sangat luar biasa bang tambahkan model model busana supaya lebih baik Terimakasih Pinterest,mantap keren sangat luar biasa bang tambahkan model model busana supaya lebih baik terimakasih pinterest,mantap keren sangat luar biasa abang tambahkan model model busana supaya lebih baik terimakasih pinterest,mantap keren abang tambah model model busana terimakasih pinterest,Positif
2025-03-09 06:38:09,Mulimuli578 Muli,5,Bgus bgt,Bgus bgt,bgus bgt,bagus banget,bagus banget,Positif
2025-03-09 05:52:31,Kusnali aditiya Aditiya,4,Aku tidak bisa bawe aku padahal tangal lahir bulan tahun bener semua tapi ga bisa?,Aku tidak bisa bawe aku padahal tangal lahir bulan tahun bener semua tapi ga bisa,aku tidak bisa bawe aku padahal tangal lahir bulan tahun bener semua tapi ga bisa,aku tidak bisa bawe aku padahal tangal lahir bulan tahun benar semua tapi tidak bisa,bawe tangal lahir,Positif
2025-03-09 05:39:00,Muhammad Al Ghazali Latif,1,Tidak bagus banget,Tidak bagus banget,tidak bagus banget,tidak bagus banget,bagus banget,Negatif
2025-03-09 05:30:12,Rini Surini,5,Bagus bisa nyimpen foto idol suka pin,Bagus bisa nyimpen foto idol suka pin,bagus bisa nyimpen foto idol suka pin,bagus bisa menyimpan foto idol suka pin,bagus simpan foto idol suka pin,Positif
2025-03-09 05:07:56,Gwen agnetha Kristofer,1,Ko akun gua ilang anj,Ko akun gua ilang anj,ko akun gua ilang anj,kok akun gua hilang anjing,akun gua hilang anjing,Negatif
2025-03-09 04:51:34,SRS lyrics,1,susah untuk mencari gambar,susah untuk mencari gambar,susah untuk mencari gambar,susah untuk mencari gambar,susah cari gambar,Negatif
2025-03-09 04:36:45,Dedi Rosyadi,5,Bagus buat walpaper gituuu keren,Bagus buat walpaper gituuu keren,bagus buat walpaper gituuu keren,bagus buat walpaper begitu keren,bagus walpaper keren,Positif
2025-03-09 03:59:30,Asyifasyarif67 Syarifasyifa67,3,bagus tapi masih kurang,bagus tapi masih kurang,bagus tapi masih kurang,bagus tapi masih kurang,bagus,Negatif
2025-03-09 03:57:44,Dian Herdiyana,2,Saya tidak bisa masuk.indi tidik milingkipi syirit🥴,Saya tidak bisa masukindi tidik milingkipi syirit,saya tidak bisa masukindi tidik milingkipi syirit,saya tidak bisa masukindi tidik milingkipi syirit,masukindi tidik milingkipi syirit,Negatif
2025-03-09 01:52:37,Rifa Aliya,5,Godd,Godd,godd,godd,godd,Positif
2025-03-09 01:12:41,Dalle A7ki,5,Appk sangat membantuku terimakasih atas bantuan appk nya semoga kedepannya bisa lebih canggih lagi,Appk sangat membantuku terimakasih atas bantuan appk nya semoga kedepannya bisa lebih canggih lagi,appk sangat membantuku terimakasih atas bantuan appk nya semoga kedepannya bisa lebih canggih lagi,appk sangat membantuku terimakasih atas bantuan appk ya semoga kedepannya bisa lebih canggih lagi,appk bantu terimakasih bantu appk ya moga depan canggih,Positif
2025-03-09 01:05:04,IMAM SUCAHYO,3,bermanfaat untuk ide dan inpirasi,bermanfaat untuk ide dan inpirasi,bermanfaat untuk ide dan inpirasi,bermanfaat untuk ide dan inpirasi,manfaat ide inpirasi,Negatif
2025-03-09 00:41:47,Narendra Kusuma,5,Bagus tapi kenapa ada sandi,Bagus tapi kenapa ada sandi,bagus tapi kenapa ada sandi,bagus tapi kenapa ada sandi,bagus sandi,Positif
2025-03-09 00:19:31,Neneng Mabruroh,4,Aplikasi bagus,Aplikasi bagus,aplikasi bagus,aplikasi bagus,aplikasi bagus,Positif
2025-03-08 23:35:24,Reggy Ahmad Subagja,1,"Banyak Ai, algoritma jelek, kalo lagi di beranda sering refresh mulu padahal cuman klik back atau beranda.",Banyak Ai algoritma jelek kalo lagi di beranda sering refresh mulu padahal cuman klik back atau beranda,banyak ai algoritma jelek kalo lagi di beranda sering refresh mulu padahal cuman klik back atau beranda,banyak ai algoritma jelek kalau lagi di beranda sering refresh mulu padahal cuman klik back atau beranda,ai algoritma jelek beranda refresh mulu cuman klik back beranda,Negatif
2025-03-08 23:22:46,Brilyan,5,Enak.,Enak,enak,enak,enak,Positif
2025-03-08 23:12:52,Emelia Rhamadhani,3,Tolong buat untuk meñyimpañ videoo,Tolong buat untuk meyimpa videoo,tolong buat untuk meyimpa videoo,tolong buat untuk meyimpa videoo,tolong meyimpa videoo,Negatif
2025-03-08 21:28:37,Raihan Saputro,2,Aplikasi sampah sering ngeblok akun . Tolong diberbaiki lagi saya sudah males kalo harus login terus.,Aplikasi sampah sering ngeblok akun  Tolong diberbaiki lagi saya sudah males kalo harus login terus,aplikasi sampah sering ngeblok akun  tolong diberbaiki lagi saya sudah males kalo harus login terus,aplikasi sampah sering ngeblok akun tolong diberbaiki lagi saya sudah malas kalau harus login terus,aplikasi sampah ngeblok akun tolong baik malas login,Negatif
2025-03-08 20:37:16,Mas Yudy,1,"I already blocked the account, but their posts are still showing up. Can you do your job properly?",I already blocked the account but their posts are still showing up Can you do your job properly,i already blocked the account but their posts are still showing up can you do your job properly,i already blocked the account but their posts are still showing up can you di your job properly,i already blocked the account but their posts are still showing up can you your job properly,Negatif
2025-03-08 19:00:11,くるみときさき,3,Admin dan staff pinterest gimana sih saya tidak memposting hal yang melanggar kok akun saya di nonaktiv kan,Admin dan staff pinterest gimana sih saya tidak memposting hal yang melanggar kok akun saya di nonaktiv kan,admin dan staff pinterest gimana sih saya tidak memposting hal yang melanggar kok akun saya di nonaktiv kan,admin dan staff pinterest bagaimana sih saya tidak memposting hal yang melanggar kok akun saya di nonaktiv kan,admin staff pinterest sih memposting langgar akun nonaktiv,Negatif
2025-03-08 17:23:19,Erik Gunawan,1,Jir susah kali masukan tada lahir salah mulu padahal benar,Jir susah kali masukan tada lahir salah mulu padahal benar,jir susah kali masukan tada lahir salah mulu padahal benar,jir susah kali masukan tada lahir salah mulu padahal benar,jir susah kali masuk tada lahir salah mulu,Negatif
2025-03-08 15:46:37,aluna hartawan,5,bisaa liat foto bias,bisaa liat foto bias,bisaa liat foto bias,bisa lihat foto bias,lihat foto bias,Positif
2025-03-08 15:25:11,dedeh kurniasih,4,"Kalo ada pinterest itu jadi gampang,mau ngambil foto sama video itu jadi gampang",Kalo ada pinterest itu jadi gampangmau ngambil foto sama video itu jadi gampang,kalo ada pinterest itu jadi gampangmau ngambil foto sama video itu jadi gampang,kalau ada pinterest itu jadi gampangmau ngambil foto sama video itu jadi gampang,pinterest gampangmau ngambil foto video gampang,Positif
2025-03-08 15:04:53,Siska Anggraini,5,Pinterest sangat berguna bagi saya,Pinterest sangat berguna bagi saya,pinterest sangat berguna bagi saya,pinterest sangat berguna bagi saya,pinterest guna,Positif
2025-03-08 14:51:59,hizqia evanisa,5,Kalo aku mau ganti wallpaper tinggal foto aja,Kalo aku mau ganti wallpaper tinggal foto aja,kalo aku mau ganti wallpaper tinggal foto aja,kalau aku mau ganti wallpaper tinggal foto saja,ganti wallpaper tinggal foto,Positif
2025-03-08 13:43:23,Hayfa Navisha,1,Gak bisa pas umurnya padahal udah pas😡,Gak bisa pas umurnya padahal udah pas,gak bisa pas umurnya padahal udah pas,tidak bisa pas umurnya padahal sudah pas,pas umur pas,Negatif
2025-03-08 13:22:18,Ishaq Ishaq,3,pas melihat simpanan kadang double simpan,pas melihat simpanan kadang double simpan,pas melihat simpanan kadang double simpan,pas melihat simpanan kadang double simpan,pas simpan kadang double simpan,Negatif
2025-03-08 12:00:50,Azkayra Yumna,3,Nge lag parah! Udh login terakhir malah lama!,Nge lag parah Udh login terakhir malah lama,nge lag parah udh login terakhir malah lama,nge lag parah sudah login terakhir malah lama,nge lag parah login,Negatif
2025-03-08 10:38:26,sindii,5,"mantep, komplit bgt segala foto ada di sini",mantep komplit bgt segala foto ada di sini,mantep komplit bgt segala foto ada di sini,mantap komplit banget segala foto ada di sini,mantap komplit banget foto,Positif
2025-03-08 10:00:56,Agustina Bangngu Roi,5,Sangat membantu saya dalam mempersiapkan data dan LKA anak paud,Sangat membantu saya dalam mempersiapkan data dan LKA anak paud,sangat membantu saya dalam mempersiapkan data dan lka anak paud,sangat membantu saya dalam mempersiapkan data dan lka anak paud,bantu data lka anak paud,Positif
2025-03-08 10:00:54,Nida Hanifah,4,BAGUSS AKU SERINGG AMBILL FOTO BAGUS DI SINII,BAGUSS AKU SERINGG AMBILL FOTO BAGUS DI SINII,baguss aku seringg ambill foto bagus di sinii,bagus aku seringg ambill foto bagus di sinii,bagus seringg ambill foto bagus sini,Positif
2025-03-08 09:34:15,Daniel Wijaya,3,saat mau login akun tiba² gabisa katanya aku palsuin tanggal lahir padahal udah bener yauda awalnya aku kira karna akun aku yg bermasalah jadi aku bikin akun baru tapi ternyata sama aja padahal udah bener aku coba ganti tanggal lahir nya masin samaa tolong ya ini kenapa,saat mau login akun tiba gabisa katanya aku palsuin tanggal lahir padahal udah bener yauda awalnya aku kira karna akun aku yg bermasalah jadi aku bikin akun baru tapi ternyata sama aja padahal udah bener aku coba ganti tanggal lahir nya masin samaa tolong ya ini kenapa,saat mau login akun tiba gabisa katanya aku palsuin tanggal lahir padahal udah bener yauda awalnya aku kira karna akun aku yg bermasalah jadi aku bikin akun baru tapi ternyata sama aja padahal udah bener aku coba ganti tanggal lahir nya masin samaa tolong ya ini kenapa,saat mau login akun tiba katanya aku palsuin tanggal lahir padahal sudah benar yauda awalnya aku kira karena akun aku yang bermasalah jadi aku bikin akun baru tapi ternyata sama saja padahal sudah benar aku coba ganti tanggal lahir ya masin sama tolong ya ini kenapa,login akun palsuin tanggal lahir yauda akun masalah bikin akun coba ganti tanggal lahir ya masin tolong ya,Negatif
2025-03-08 08:08:07,Axel Aydin,5,"aku suka banget sama aplikasi satu ini, di aplikasi ini aku bisa cari semua foto artis atau seseorang, wallpaper, dll. 😍🫶🏻💗✨🤩🎀",aku suka banget sama aplikasi satu ini di aplikasi ini aku bisa cari semua foto artis atau seseorang wallpaper dll ,aku suka banget sama aplikasi satu ini di aplikasi ini aku bisa cari semua foto artis atau seseorang wallpaper dll ,aku suka banget sama aplikasi satu ini di aplikasi ini aku bisa cari semua foto artis atau seseorang wallpaper dll,suka banget aplikasi aplikasi cari foto artis wallpaper dll,Positif
2025-03-08 07:31:34,mini wawa,5,Bagus dan menarik bisa bikin baju di roblox,Bagus dan menarik bisa bikin baju di roblox,bagus dan menarik bisa bikin baju di roblox,bagus dan menarik bisa bikin baju di roblox,bagus tarik bikin baju roblox,Positif
2025-03-08 07:24:18,Nadia Alfina,5,Bagus bgt aesthetic juga,Bagus bgt aesthetic juga,bagus bgt aesthetic juga,bagus banget aesthetic juga,bagus banget aesthetic,Positif
2025-03-08 07:23:20,Feri Angriwan,4,sangat bagus untuk mencari segala foto,sangat bagus untuk mencari segala foto,sangat bagus untuk mencari segala foto,sangat bagus untuk mencari segala foto,bagus cari foto,Positif
2025-03-08 05:50:55,Pajar Sadboy,5,"Bagus banget aplikasi nya,🥰😍",Bagus banget aplikasi nya,bagus banget aplikasi nya,bagus banget aplikasi ya,bagus banget aplikasi ya,Positif
2025-03-08 05:26:58,Gadis Vanila,5,"memiliki ide yang sangat bagus, rekomendasi hal² yang mungkin tidak ada di apk lain. kreativ dan sangat bagus.",memiliki ide yang sangat bagus rekomendasi hal yang mungkin tidak ada di apk lain kreativ dan sangat bagus,memiliki ide yang sangat bagus rekomendasi hal yang mungkin tidak ada di apk lain kreativ dan sangat bagus,memiliki ide yang sangat bagus rekomendasi hal yang mungkin tidak ada di apk lain kreativ dan sangat bagus,milik ide bagus rekomendasi apk kreativ bagus,Positif
2025-03-08 05:00:49,Yemima Prita gravila M,5,"sangat baguss apl ini,saya suka",sangat baguss apl inisaya suka,sangat baguss apl inisaya suka,sangat bagus apl inisaya suka,bagus apl inisaya suka,Positif
2025-03-08 04:04:42,Anindia Salsabila,5,"Bagus bangett sehhh, buat hal² kayak PP whatsapp dan sebagainyaa",Bagus bangett sehhh buat hal kayak PP whatsapp dan sebagainyaa,bagus bangett sehhh buat hal kayak pp whatsapp dan sebagainyaa,bagus banget sehhh buat hal kayak pp whatsapp dan sebagainyaa,bagus banget sehhh kayak pp whatsapp sebagainyaa,Positif
2025-03-08 02:17:32,Pengguna Google,4,Wows,Wows,wows,wows,wows,Positif
2025-03-08 01:52:40,Rohaniah Kelayu,5,Banyak inspirasi,Banyak inspirasi,banyak inspirasi,banyak inspirasi,inspirasi,Positif
2025-03-08 01:44:38,Abah Usup ganteng,5,wow😍,wow,wow,wow,wow,Positif
2025-03-08 01:19:02,Mafia Artama,5,Karna bagus dan praktis untuk menyimpan foto,Karna bagus dan praktis untuk menyimpan foto,karna bagus dan praktis untuk menyimpan foto,karena bagus dan praktis untuk menyimpan foto,bagus praktis simpan foto,Positif
2025-03-08 00:41:09,Din's Chanel,3,Sangat menginpirasi,Sangat menginpirasi,sangat menginpirasi,sangat menginpirasi,menginpirasi,Negatif
2025-03-07 23:41:37,Tursiyah Tur,5,Sangat bagus aplikasi ini,Sangat bagus aplikasi ini,sangat bagus aplikasi ini,sangat bagus aplikasi ini,bagus aplikasi,Positif
2025-03-07 23:25:24,Ade Irawan,5,"Setelah di update malah muncul notif akun saya telah di non aktifkan saya kaget seingat saya saya merasa tidak melanggar ketentuan/kebijakan standar, komunitas atau apapun itu apalagi meminta penonaktifan akun atau ada hal lain yang saya tidak tahu?.Tolong bantu saya Tim mengingat saya penggunamu lebih dari 5 tahun.Terimakasih",Setelah di update malah muncul notif akun saya telah di non aktifkan saya kaget seingat saya saya merasa tidak melanggar ketentuankebijakan standar komunitas atau apapun itu apalagi meminta penonaktifan akun atau ada hal lain yang saya tidak tahuTolong bantu saya Tim mengingat saya penggunamu lebih dari  tahunTerimakasih,setelah di update malah muncul notif akun saya telah di non aktifkan saya kaget seingat saya saya merasa tidak melanggar ketentuankebijakan standar komunitas atau apapun itu apalagi meminta penonaktifan akun atau ada hal lain yang saya tidak tahutolong bantu saya tim mengingat saya penggunamu lebih dari  tahunterimakasih,setelah di update malah muncul notif akun saya telah di non aktifkan saya kaget seingat saya saya merasa tidak melanggar ketentuankebijakan standar komunitas atau apapun itu apalagi meminta penonaktifan akun atau ada hal lain yang saya tidak tahutolong bantu saya tim mengingat saya penggunamu lebih dari tahunterimakasih,update muncul notif akun non aktif kaget langgar ketentuankebijakan standar komunitas apa nonaktif akun tahutolong bantu tim guna tahunterimakasih,Positif
2025-03-07 22:02:38,Anisa Sulis,5,Pinterest Love you i Miss,Pinterest Love you i Miss,pinterest love you i miss,pinterest love you i miss,pinterest love you i miss,Positif
2025-03-07 22:00:45,kaodihteaey kaodih,4,Boleh juga apk ini,Boleh juga apk ini,boleh juga apk ini,boleh juga apk ini,apk,Positif
2025-03-07 21:30:43,Agnia Nisfil,4,"Mau nanya harus pake tahun berapa ,soal nya aku gak bisa bisa",Mau nanya harus pake tahun berapa soal nya aku gak bisa bisa,mau nanya harus pake tahun berapa soal nya aku gak bisa bisa,mau bertanya harus pakai tahun berapa soal ya aku tidak bisa bisa,pakai ya,Positif
2025-03-07 20:30:55,Raline Syifa,3,"udah bagus banget aplikasinya, fiturnya juga udah lumayan lengkap, hanya saja sayangnya tidak ada fitur simpan vidio, jika ada perfect banget ini aplikasi.",udah bagus banget aplikasinya fiturnya juga udah lumayan lengkap hanya saja sayangnya tidak ada fitur simpan vidio jika ada perfect banget ini aplikasi,udah bagus banget aplikasinya fiturnya juga udah lumayan lengkap hanya saja sayangnya tidak ada fitur simpan vidio jika ada perfect banget ini aplikasi,sudah bagus banget aplikasinya fiturnya juga sudah lumayan lengkap hanya saja sayangnya tidak ada fitur simpan vidio jika ada perfect banget ini aplikasi,bagus banget aplikasi fiturnya lumayan lengkap sayang fitur simpan vidio perfect banget aplikasi,Negatif
2025-03-07 17:30:08,Irvan Maulana Romadon s,1,Login nya susah banget sih,Login nya susah banget sih,login nya susah banget sih,login ya susah banget sih,login ya susah banget sih,Negatif
2025-03-07 16:44:39,Wahidatu Rohmah,5,Suka sekali,Suka sekali,suka sekali,suka sekali,suka,Positif
2025-03-07 16:20:34,Cika Friska,3,Banyak foto apapun yg kita inginkan aku suka sekali jd klo tmn mau foto cowo aku kirim aja pap pin wkwk canda,Banyak foto apapun yg kita inginkan aku suka sekali jd klo tmn mau foto cowo aku kirim aja pap pin wkwk canda,banyak foto apapun yg kita inginkan aku suka sekali jd klo tmn mau foto cowo aku kirim aja pap pin wkwk canda,banyak foto apapun yang kita inginkan aku suka sekali jadi kalau teman mau foto cowok aku kirim saja pap pin wkwk canda,foto apa suka teman foto cowok kirim pap pin wkwk canda,Negatif
2025-03-07 15:32:03,Safea Aisyah,5,Ini keren,Ini keren,ini keren,ini keren,keren,Positif
2025-03-07 14:15:53,Aprizal Aprizal,5,Waww Soo good soon i love pinterest and love more pinterest and good job friend 🫵🏻,Waww Soo good soon i love pinterest and love more pinterest and good job friend ,waww soo good soon i love pinterest and love more pinterest and good job friend ,wow soo good soon i love pinterest and love more pinterest and good job friend,wow soo good soon i love pinterest and love more pinterest and good job friend,Positif
2025-03-07 14:15:18,Putri Puspitasari,5,"cakep,no comment",cakepno comment,cakepno comment,cakepno comment,cakepno comment,Positif
2025-03-07 13:57:14,Shinta Aprilisa,5,Bermanfaat,Bermanfaat,bermanfaat,bermanfaat,manfaat,Positif
2025-03-07 13:43:52,monicasilaen13 monica,5,"bagus sih tapi cuma kalo misalnya lagi update gitu, selalu ngeleg. ga tau ya kalo sama kalian, tapi kalo samaku kyk gitu🙏🏻 tapi bagus kok gambarnya juga jernihh♥️",bagus sih tapi cuma kalo misalnya lagi update gitu selalu ngeleg ga tau ya kalo sama kalian tapi kalo samaku kyk gitu tapi bagus kok gambarnya juga jernihh,bagus sih tapi cuma kalo misalnya lagi update gitu selalu ngeleg ga tau ya kalo sama kalian tapi kalo samaku kyk gitu tapi bagus kok gambarnya juga jernihh,bagus sih tapi cuma kalau misalnya lagi update begitu selalu ngeleg tidak tau ya kalau sama kalian tapi kalau samaku kayak begitu tapi bagus kok gambarnya juga jernihh,bagus sih update ngeleg tau ya sama kayak bagus gambar jernihh,Positif
2025-03-07 13:37:59,Frem Dange,5,Suka,Suka,suka,suka,suka,Positif
2025-03-07 12:50:35,Shiroko ilang,5,"Bagus sih gk ada kekurangan apapun gw bisa cari tutorial menggambar anime sama cari pola,sepak bola,seni,tema,mangga,dll bahkan bisa cari walpaper sesuka lu masih bagus sih tapi masih ada sedikit gangguan bahkan sy trauma sekali tolong hapus konten konten atau foto anime yg vulgar ataupun manusia saran itu saja,termasuk masalah besar dari pinterest mohon perbaiki team developer kritisnya terima kasih",Bagus sih gk ada kekurangan apapun gw bisa cari tutorial menggambar anime sama cari polasepak bolasenitemamanggadll bahkan bisa cari walpaper sesuka lu masih bagus sih tapi masih ada sedikit gangguan bahkan sy trauma sekali tolong hapus konten konten atau foto anime yg vulgar ataupun manusia saran itu sajatermasuk masalah besar dari pinterest mohon perbaiki team developer kritisnya terima kasih,bagus sih gk ada kekurangan apapun gw bisa cari tutorial menggambar anime sama cari polasepak bolasenitemamanggadll bahkan bisa cari walpaper sesuka lu masih bagus sih tapi masih ada sedikit gangguan bahkan sy trauma sekali tolong hapus konten konten atau foto anime yg vulgar ataupun manusia saran itu sajatermasuk masalah besar dari pinterest mohon perbaiki team developer kritisnya terima kasih,bagus sih tidak ada kekurangan apapun gue bisa cari tutorial menggambar anime sama cari polasepak bolasenitemamanggadll bahkan bisa cari walpaper sesuka kamu masih bagus sih tapi masih ada sedikit gangguan bahkan saya trauma sekali tolong hapus konten konten atau foto anime yang vulgar ataupun manusia saran itu sajatermasuk masalah besar dari pinterest mohon perbaiki team developer kritisnya terima kasih,bagus sih kurang apa gue cari tutorial gambar anime cari polasepak bolasenitemamanggadll cari walpaper suka bagus sih ganggu trauma tolong hapus konten konten foto anime vulgar manusia saran sajatermasuk pinterest mohon baik team developer kritis terima kasih,Positif
2025-03-07 11:57:48,Gabriella Indri,5,"Dapat banyak ide di sini, dan resep foto' idola, saya sangat menyukai nya",Dapat banyak ide di sini dan resep foto idola saya sangat menyukai nya,dapat banyak ide di sini dan resep foto idola saya sangat menyukai nya,dapat banyak ide di sini dan resep foto idola saya sangat menyukai ya,ide resep foto idola suka ya,Positif
2025-03-07 10:47:39,Husna Ufaira,5,"Hebat, tapi komunitas terlalu banyak masalah",Hebat tapi komunitas terlalu banyak masalah,hebat tapi komunitas terlalu banyak masalah,hebat tapi komunitas terlalu banyak masalah,hebat komunitas,Positif
2025-03-07 09:49:45,Rodiah,5,Bagus banget bisa simpan foto,Bagus banget bisa simpan foto,bagus banget bisa simpan foto,bagus banget bisa simpan foto,bagus banget simpan foto,Positif
2025-03-07 09:19:26,Alya Febrina,1,tiba tiba profil saya dinonaktifkan tanpa alasan dan banyak ruang yang diambil,tiba tiba profil saya dinonaktifkan tanpa alasan dan banyak ruang yang diambil,tiba tiba profil saya dinonaktifkan tanpa alasan dan banyak ruang yang diambil,tiba tiba profil saya dinonaktifkan tanpa alasan dan banyak ruang yang diambil,profil nonaktif alas ruang ambil,Negatif
2025-03-07 08:46:52,S.O.S S aus t O mat S,1,Karya ai benar-benar mengganggu dan mencari referensi yang nyata itu menjadi sulit.,Karya ai benarbenar mengganggu dan mencari referensi yang nyata itu menjadi sulit,karya ai benarbenar mengganggu dan mencari referensi yang nyata itu menjadi sulit,karya ai benarbenar mengganggu dan mencari referensi yang nyata itu menjadi sulit,karya ai benarbenar ganggu cari referensi nyata sulit,Negatif
2025-03-07 08:19:16,Rasyila Dewi,3,Karena kurang sangat biasanya kurang lengkap,Karena kurang sangat biasanya kurang lengkap,karena kurang sangat biasanya kurang lengkap,karena kurang sangat biasanya kurang lengkap,lengkap,Negatif
2025-03-07 08:07:47,eliaaooo 123,1,CARA LOGINNYA GIAMNA JINK,CARA LOGINNYA GIAMNA JINK,cara loginnya giamna jink,cara loginnya giamna jink,loginnya giamna jink,Negatif
2025-03-07 07:59:18,Vinnesa Holly,5,baguss bangett bisa buat cari wallpaper foto dan lain lain suka banget dehh makasih ya udah bikin pin terus MB nya dikit aku kasih bintang lima dehh makasih yaa,baguss bangett bisa buat cari wallpaper foto dan lain lain suka banget dehh makasih ya udah bikin pin terus MB nya dikit aku kasih bintang lima dehh makasih yaa,baguss bangett bisa buat cari wallpaper foto dan lain lain suka banget dehh makasih ya udah bikin pin terus mb nya dikit aku kasih bintang lima dehh makasih yaa,bagus banget bisa buat cari wallpaper foto dan lain lain suka banget deh ya sudah bikin pin terus mbak ya dikit aku kasih bintang lima deh ya,bagus banget cari wallpaper foto suka banget deh ya bikin pin mbak ya dikit kasih bintang deh ya,Positif
2025-03-07 07:56:52,Bila Aska,5,Hai pinterest,Hai pinterest,hai pinterest,hai pinterest,hai pinterest,Positif
2025-03-07 07:32:31,Muhammad Alwie,5,Ini apk bagus banget,Ini apk bagus banget,ini apk bagus banget,ini apk bagus banget,apk bagus banget,Positif
2025-03-07 07:27:56,Fauzi,4,Tidak dapat menganu tangal saat daftar,Tidak dapat menganu tangal saat daftar,tidak dapat menganu tangal saat daftar,tidak dapat menganu tangal saat daftar,anu tangal daftar,Positif
2025-03-07 06:06:24,Nurul Anisa,5,BAGUS BANGET BUAT CARI WPP ATAU APALAH,BAGUS BANGET BUAT CARI WPP ATAU APALAH,bagus banget buat cari wpp atau apalah,bagus banget buat cari wpp atau apalah,bagus banget cari wpp apa,Positif
2025-03-07 05:10:55,Isarofah,5,Berguna udh cukup bagus tapi bisa ga tambah hin fitur nya kaya vidio gitu di download langsung masuk ke galeri,Berguna udh cukup bagus tapi bisa ga tambah hin fitur nya kaya vidio gitu di download langsung masuk ke galeri,berguna udh cukup bagus tapi bisa ga tambah hin fitur nya kaya vidio gitu di download langsung masuk ke galeri,berguna sudah cukup bagus tapi bisa tidak tambah hin fitur ya kayak vidio begitu di download langsung masuk ke galeri,guna bagus hin fitur ya kayak vidio download langsung masuk galeri,Positif
2025-03-07 04:36:56,Nanang Qosim,5,Penuh insprirasi. .,Penuh insprirasi ,penuh insprirasi ,penuh insprirasi,penuh insprirasi,Positif
2025-03-07 04:35:40,Aulia Reizky,4,Bagus tapi ada,Bagus tapi ada,bagus tapi ada,bagus tapi ada,bagus,Positif
2025-03-07 01:38:36,Fharel ShuhailRhomadan,2,"Aplikasi ngebug terus, tambah lagi nggak bisa masuk 🤦",Aplikasi ngebug terus tambah lagi nggak bisa masuk ,aplikasi ngebug terus tambah lagi nggak bisa masuk ,aplikasi ngebug terus tambah lagi tidak bisa masuk,aplikasi ngebug masuk,Negatif
2025-03-06 19:22:21,Lail shalwi Pratama Pratama,5,Mantap aplikasi ini banyak gambar waifu,Mantap aplikasi ini banyak gambar waifu,mantap aplikasi ini banyak gambar waifu,mantap aplikasi ini banyak gambar waifu,mantap aplikasi gambar waifu,Positif
2025-03-06 14:49:34,Ariezka Angelina,5,ini seru banget sih apk nya,ini seru banget sih apk nya,ini seru banget sih apk nya,ini seru banget sih apk ya,seru banget sih apk ya,Positif
2025-03-06 14:30:52,MARIA SEPTIANA,5,"Sangat bagus,selama saya memakai ini banyak fto² yang membantu saya untuk membuat sesuatu yang saya tdk tau",Sangat bagusselama saya memakai ini banyak fto yang membantu saya untuk membuat sesuatu yang saya tdk tau,sangat bagusselama saya memakai ini banyak fto yang membantu saya untuk membuat sesuatu yang saya tdk tau,sangat bagusselama saya memakai ini banyak foto yang membantu saya untuk membuat sesuatu yang saya tidak tau,bagusselama pakai foto bantu tau,Positif
2025-03-06 14:25:33,uwa canz,5,lovv bgt apkny bgs,lovv bgt apkny bgs,lovv bgt apkny bgs,lovv banget apkny bagus,lovv banget apkny bagus,Positif
2025-03-06 13:50:10,Alif Ramdhani,5,Aplikasi ini bagus banget buat cari gambar kartun dan semua nya lengkap,Aplikasi ini bagus banget buat cari gambar kartun dan semua nya lengkap,aplikasi ini bagus banget buat cari gambar kartun dan semua nya lengkap,aplikasi ini bagus banget buat cari gambar kartun dan semua ya lengkap,aplikasi bagus banget cari gambar kartun ya lengkap,Positif
2025-03-06 13:29:54,Maula Sami,5,This is a great app but sometimes its hard to find reference and also too many porn,This is a great app but sometimes its hard to find reference and also too many porn,this is a great app but sometimes its hard to find reference and also too many porn,this is a great app but sometimes its hard tapi find reference and also too many porn,this is a great app but sometimes its hard find reference and also too many porn,Positif
2025-03-06 13:28:49,c yoga,5,bagus untuk mencari foto,bagus untuk mencari foto,bagus untuk mencari foto,bagus untuk mencari foto,bagus cari foto,Positif
